song,version,song_type,kr_song,kr_song_proxy
Fires of Destiny,XX,Arcade,파이어 오브 데스티니,파이어 오브 데스티니
Phantom -Intermezzo-,FIESTA - FIESTA 2,Arcade,팬텀 -인터메조-,팬텀 인터메조
Pop The Track,FIESTA - FIESTA 2,Arcade,팝 더 트랙,팝 더 트랙
Paradoxx,PRIME - PRIME 2,Remix,패러독스,패러독스
Jonathan's Dream,FIESTA - FIESTA 2,Arcade,조나단의 꿈,조나단의 꿈
Clue,PRIME - PRIME 2,Arcade,클루,클루
Final Audition,1st - Zero,Arcade,파이널 오디션,파이널 오디션
Witch Doctor,1st - Zero,Arcade,위치 닥터,위치 닥터
Star Command,FIESTA - FIESTA 2,Arcade,스타 커맨드,스타 커맨드
Redline,PRIME - PRIME 2,Arcade,레드라인,레드라인
Orbit Stabilizer,XX,Arcade,오르비트 스테빌라이저,오르빗 스테빌라이저
HELIX,PRIME - PRIME 2,Arcade,헬릭스,헬릭스
Napalm,FIESTA - FIESTA 2,Arcade,네이팜,네이팜
U Got Me Rocking,FIESTA - FIESTA 2,Arcade,유 갓 미 락킹,유 갓 미 락킹
Dr. M,1st - Zero,Arcade,닥터 엠,닥터 엠
Faster Z,NX - NXA,Arcade,패스터 Z,패스터지
Dream To Nightmare,FIESTA - FIESTA 2,Arcade,드림 투 나이트메어,드림 투 나이트메어
Final Audition Ep. 2-2,NX - NXA,Arcade,파이널 오디션 에피소드 2-2,파이널 오디션 에피소드 2-2
Tritium,PRIME - PRIME 2,Arcade,트리튬,트리튬
ERRORCODE: 0,XX,Remix,에러코드: 0,에러코드0
Super Stylin',PRIME - PRIME 2,Arcade,슈퍼 스타일린,슈퍼 스타일린
Force of Ra,PRIME - PRIME 2,Arcade,포스 오브 라,포스 오브 라
Vook,1st - Zero,Arcade,부크,부크
Smells Like A Chocolate,FIESTA - FIESTA 2,Arcade,스멜스 라이크 어 초콜릿,스멜스 라이크 어 초콜릿
Tepris,FIESTA - FIESTA 2,Arcade,테프리스,테프리스
%X (Percent X),XX,Arcade,퍼센트 엑스,퍼센트 엑스
Radetzky Can Can,1st - Zero,Arcade,라젠스키 캉캉,라젠스키 캉캉
Mitotsudaira,PRIME - PRIME 2,Arcade,미토츠다이라,미토츠다이라
Hyperion,PRIME - PRIME 2,Arcade,히페리온,히페리온
God Mode 2.0 feat. Skizzo,XX,Arcade,갓 모드 2.0 feat. Skizzo,갓 모드 2.0 feat. Skizzo
Chinese restaurant,PRIME - PRIME 2,Arcade,차이니즈 레스토랑,차이니즈 레스토랑
Monolith,FIESTA - FIESTA 2,Arcade,모노리스,모노리스
Rave'til the earth's end,PRIME - PRIME 2,Arcade,레이브 언틸 디 어스 엔드,레이브 언틸 디 어스 엔드
Baroque Virus - FULL SONG -,XX,Full Song,바로크 바이러스 - FULL SONG -,풀로크
Tribe Attacker,FIESTA - FIESTA 2,Arcade,트라이브 어택커,트라이브 어태커
Up & Up (Produced by AWAL),PRIME - PRIME 2,Arcade,업 앤 업 (Produced by AWAL),업앤업
ヨロピク ピクヨロ！Yoropiku Pikuyoro !,PRIME - PRIME 2,Arcade,요로피쿠 피쿠요로 !,요로피쿠 피쿠요로 !
Hypnosis(SynthWulf Mix),FIESTA - FIESTA 2,Arcade,힙노시스(SynthWulf 믹스),힙노시스(SynthWulf 믹스)
Allegro Con Fuoco - FULL SONG -,XX,Full Song,알레그로 콘 뿌오코 - FULL SONG -,풀레그로
Will-O-The-Wisp,1st - Zero,Arcade,윌 오 더 위스프,윌 오 더 위습
Over The Horizon,XX,Arcade,오버 더 호라이즌,오버 더 호라이즌
Blazing,1st - Zero,Arcade,블레이징,블레이징
Cannon X.1,NX - NXA,Arcade,캐논 X.1,캐논 X.1
DJ Otada,NX - NXA,Arcade,디제이 오타다,디제이 오타다
Removable Disk0,PRIME - PRIME 2,Arcade,리무버블 디스코,리무버블 디스코
Papa Gonzales,1st - Zero,Arcade,파파 곤잘레스,파파 곤잘레스
FFF,FIESTA - FIESTA 2,Arcade,에프 에프 에프,에프 에프 에프
甘い誘惑デインジャラスAmai Yuuwaku Dangerous,PRIME - PRIME 2,Arcade,아마이 유우와쿠 데인저러스,아마이 유우와쿠 댄저러스
Requiem ,PRIME - PRIME 2,Arcade,레퀴엠,레퀴엠
Start On RED,PRIME - PRIME 2,Arcade,스타트 온 레드,스타트 온 레드
Log In,FIESTA - FIESTA 2,Arcade,로그인,로그인
Phantom,1st - Zero,Arcade,팬텀,팬텀
Hestia,PRIME - PRIME 2,Arcade,헤스티아,헤스티아
video out c,PRIME - PRIME 2,Arcade,비디오 아웃 씨,비디오 아웃 씨
Arirang,FIESTA - FIESTA 2,Arcade,아리랑,아리랑
Mad5cience,PRIME - PRIME 2,Arcade,매드 사이언스,매드 사이언스
Move That Body!,PRIME - PRIME 2,Arcade,무브 댓 바디!,무브 댓 바디!
Final Audition Ep. 2-X,NX - NXA,Arcade,파이널 오디션 에피소드 2-X,파이널 오디션 에피소드 2-X
Magical Vacation,PRIME - PRIME 2,Arcade,매지컬 베케이션,매지컬 베케이션
Obliteration,XX,Arcade,오블리터레이션,오블리터레이션
Unique,FIESTA - FIESTA 2,Arcade,유니크,유니크
Paradoxx - SHORT CUT -,XX,Short Cut,패러독스 - SHORT CUT -,패러독스 - SHORT CUT -
Cosmical Rhythm,PRIME - PRIME 2,Arcade,코스미컬 리듬,코스미컬 리듬
U GOT 2 KNOW,FIESTA - FIESTA 2,Arcade,유 갓 투 노우,유 갓 투 노우
Red Swan,PRIME - PRIME 2,Arcade,레드 스완,레드 스완
Anguished Unmaking,PRIME - PRIME 2,Arcade,앵귀시드 언메이킹,앵귀시드 언메이킹
Robot battle,PRIME - PRIME 2,Arcade,로봇 배틀,로봇 배틀
Time Attack <BLUE>,PRIME - PRIME 2,Arcade,타임 어택 <블루>,타임 어택 <블루>
Maria,1st - Zero,Arcade,마리아,마리아
You again my love,PRIME - PRIME 2,Arcade,유 어게인 마이 러브,유 어게인 마이 러브
Kill Them!,PRIME - PRIME 2,Arcade,킬 뎀!,킬 뎀!
Gun Rock,NX - NXA,Arcade,건 락,건 락
Black Dragon,PRIME - PRIME 2,Arcade,블랙 드래곤,블랙 드래곤
Hyacinth,PRIME - PRIME 2,Arcade,히아신스,히아신스
Dolly KiSS,PRIME - PRIME 2,Arcade,돌리 키스,돌리 키스
Lucid(PIU Edit),FIESTA - FIESTA 2,Arcade,루시드(PIU Edit),루시드(PIU Edit)
You Got Me Crazy,PRIME - PRIME 2,Arcade,유 갓 미 크레이지,유 갓 미 크레이지
Accident,FIESTA - FIESTA 2,Arcade,엑시던트,엑시던트
Pavane,FIESTA - FIESTA 2,Arcade,파반느,파반느
GOOD NIGHT - FULL SONG -,XX,Full Song,굿 나이트 - FULL SONG -,풀 나이트 풀 나잇
Hungarian Dance V,FIESTA - FIESTA 2,Arcade,헝가리 무곡 V,헝가리 무곡 V
Papasito (feat.  KuTiNA) - FULL SONG -,XX,Full Song,파파시토 (feat. KuTiNA) - FULL SONG -,파파시토 풀 송
Latino Virus,PRIME - PRIME 2,Arcade,라티노 바이러스,라티노 바이러스
Mental Rider,FIESTA - FIESTA 2,Arcade,멘탈 라이더,멘탈라이더
Kitty Cat,FIESTA - FIESTA 2,Arcade,키티 캣,키티캣
Idealized Romance,PRIME - PRIME 2,Arcade,아이디얼라이즈드 로맨스,아이디얼라이즈드 로맨스
STEP,PRIME - PRIME 2,Arcade,스텝,스텝
Selfishness,PRIME - PRIME 2,Arcade,셀피쉬니스,셀피쉬니스
Ladybug,FIESTA - FIESTA 2,Arcade,레이디버그,레이디버그
Heart Attack,PRIME - PRIME 2,Arcade,하트 어택,하트 어택
Utopia,FIESTA - FIESTA 2,Arcade,유토피아,유토피아
