song,composer,kr_song,kr_song_proxy
Final Audition Ep. 2-X,YAHPP,파이널 오디션 에피소드 2-X,파이널 오디션 에피소드 2-X
Magical Vacation,SID-SOUND,매지컬 베케이션,매지컬 베케이션
Obliteration,ATAS,오블리터레이션,오블리터레이션
Unique,SHK,유니크,유니크
Paradoxx - SHORT CUT -,SLAM & NATO,패러독스 - SHORT CUT -,패러독스 - SHORT CUT -
Cosmical Rhythm,SID-SOUND,코스미컬 리듬,코스미컬 리듬
U GOT 2 KNOW,MAX,유 갓 투 노우,유 갓 투 노우
Red Swan,Yahpp,레드 스완,레드 스완
Anguished Unmaking,void,앵귀시드 언메이킹,앵귀시드 언메이킹
Robot battle,CYO Style,로봇 배틀,로봇 배틀
Time Attack <BLUE>,r300k,타임 어택 <블루>,타임 어택 <블루>
Maria,BanYa,마리아,마리아
You again my love,CYO Style & Henohenomoheji,유 어게인 마이 러브,유 어게인 마이 러브
Kill Them!,Archefluxx,킬 뎀!,킬 뎀!
Gun Rock,Banya Production,건 락,건 락
Black Dragon,Memme,블랙 드래곤,블랙 드래곤
Hyacinth,Yahpp,히아신스,히아신스
Dolly KiSS,SID-SOUND,돌리 키스,돌리 키스
Lucid(PIU Edit),Yak Won,루시드(PIU Edit),루시드(PIU Edit)
You Got Me Crazy,MAX,유 갓 미 크레이지,유 갓 미 크레이지
Accident,MAX,엑시던트,엑시던트
Pavane,V.A.,파반느,파반느
GOOD NIGHT - FULL SONG -,Dreamcatcher,굿 나이트 - FULL SONG -,풀 나이트 풀 나잇
Hungarian Dance V,Banya Production,헝가리 무곡 V,헝가리 무곡 V
Papasito (feat. KuTiNA) - FULL SONG -,Yakikaze & Cashew,파파시토 (feat. KuTiNA) - FULL SONG -,파파시토 풀 송
Latino Virus,Warak,라티노 바이러스,라티노 바이러스
Mental Rider,SQUAR,멘탈 라이더,멘탈라이더
Kitty Cat,Coconut,키티 캣,키티캣
Idealized Romance,void,아이디얼라이즈드 로맨스 ,아이디얼라이즈드 로맨스 
STEP,SID-SOUND ,스텝,스텝
Selfishness,SID-SOUND,셀피쉬니스,셀피쉬니스
Ladybug,Coconut,레이디버그,레이디버그
Heart Attack,DJ Counterforce,하트 어택,하트 어택
Utopia,Smiley,유토피아,유토피아
Final Audition Ep. 2-1,YAHPP,파이널 오디션 에피소드 2-1,파이널 오디션 에피소드 2-1
Silver Beat feat. ChisaUezono,Tatsh,실버 비트 feat. ChisaUezono,실버 비트 feat. ChisaUezono
Vacuum Cleaner,Doin,진공 청소기,진공 청소기
Break Out,Lunatic Sounds,브레이크 아웃,브레이크 아웃
Death Moon - SHORT CUT -,SHK,사월 - SHORT CUT -,사월 - SHORT CUT -
Le Grand Rouge,KIEN,라 그랑드 루즈,라 그랑드 루즈
Final Audition Ep. 1,BanYa,파이널 오디션 에피소드 1,파이널 오디션 에피소드 1
Amphitryon,Gentle Stick,암피트리온,암피트리온
Solitary,BanYa,무혼,무혼
Leather,Doin,리더,리더
Silhouette Effect,Nato,실루엣 이펙트,실루엣 이펙트
Poseidon - SHORT CUT -,Quree,포세이돈 - SHORT CUT -,포세이돈 - SHORT CUT -
Katkoi,M2U,캇코이,캇코이
HYPERCUBE,MAX,하이퍼큐브,하이퍼큐브
Brown Sky,Doin,하늘다람쥐,하늘다람쥐
Fire Noodle Challenge,Memme,파이어 누들 챌린지,파이어 누들 챌린지
Macaron Day,HyuN,마카롱 데이,마카롱 데이
We Got 2 Know,MAX,위 갓 투 노우,위 갓 투 노우
Higgledy Piggledy,Banya Production,히글디 피글디,히글디 피글디
Meteo5cience (GADGET mix),Paul Bazooka,메테오 사이언스 (GADGET mix),메테오 사이언스 (GADGET mix)
Get Up,BanYa,겟 업,겟 업
Monkey Fingers,BanYa,몽키 핑거즈,몽키 핑거즈
Overblow,MAX,오버블로우,오버블로우
VVV,ZiGZaG,VVV ,VVV
Dance with me,BanYa,댄스 위드 미,댄스 위드 미
Karyawisata,Vesuvia x REDSHiFT,까랴위사따,까랴위사따
Leakage Voltage,Doin,리키지 볼티지,리키지 볼티지
Beat of The War 2,BanYa,비트 오브 더 워 2,비트 오브 더 워 2
The People didn't know,Banya Production,사람들은 몰랐다네,사람들은 몰랐다네
Emperor,BanYa,엠페러,엠페러
Solitary 2,BanYa,무혼 2,무혼 2
Come to Me,BanYa,컴 투 미,컴 투 미
Caprice of Otada,Banya Production,카프리스 오브 오타다,카프리스 오브 오타다
XTREE,YAHPP,엑스트리,엑스트리
Wedding Crashers - SHORT CUT -,SHK,웨딩 크래셔 - SHORT CUT -,웨딩 크래셔 - SHORT CUT -
Native,SHK,네이티브,네이티브
Beat of The War,BanYa,비트 오브 더 워,비트 오브 더 워
Night Duty,A.V.,야근,야근
She Likes Pizza,BanYa,그녀는 피자를 좋아해,그녀는 피자를 좋아해
D,MAX,디,디
Bring Back The Beat,Lunatic Sounds,브링 백 더 비트,브링 백 더 비트
Final Audition 2,BanYa,파이널 오디션 2,파이널 오디션 2
