index,song,kr_song,kr_song_proxy,composer,kr_composer,bpm,main_bpm,version,song_type
CS307,JANUS,야누스,야누스,MAX,MAX,174,174,XX,Arcade
CS203,Reminiscence,레미니센스,레미니센스,MAX,MAX,155,155,PRIME - PRIME 2,Arcade
CS311,Wicked Legend,위키드 레전드,위키드 레전드,D_AAN,D_AAN,150,150,XX,Arcade
CS634,PRIME,프라임,프라임,Tatsh,Tatsh,165,165,PRIME - PRIME 2,Arcade
CS038,Love is a Danger Zone,러브 이즈 어 데인저 존,러브 이즈 어 댄저 존,BanYa,반야,140,140,1st - Zero,Arcade
CS264,Awakening,어웨이크닝,어웨이크닝,typeMARS,typeMARS,150,150,PRIME - PRIME 2,Arcade
CS221,God Mode feat. Skizzo,갓 모드 feat. Skizzo,갓 모드 feat. Skizzo,Nato,나토,152,152,PRIME - PRIME 2,Arcade
CS249,Christmas Memories,크리스마스의 기억,크리스마스의 기억,Warak,와락,170,170,PRIME - PRIME 2,Arcade
CS605,Necromancy,네크로맨시,네크로맨시,Zircon,Zircon,173,173,FIESTA - FIESTA 2,Arcade
CS287,Black Swan,블랙스완,블랙스완,zeron,제론,175,175,XX,Arcade
CS317,Transacaglia in G-minor,트란사칼리아,트란사칼리아,ATAS,ATAS,158,158,XX,Arcade
CS657,Danger & Danger,데인저 & 데인저,댄저 & 댄저,Cranky,Cranky,155,155,XX,Arcade
CS197,Point Zero One,포인트 제로 원,포인트 제로 원,SynthWulf,SynthWulf,170,170,PRIME - PRIME 2,Arcade
CS019,Rolling Christmas,롤링 크리스마스,롤링 크리스마스,BanYa,반야,142,142,1st - Zero,Arcade
CS294,Rage of Fire,레이지 오브 파이어,레이지 오브 파이어,MAX,MAX,155,155,XX,Arcade
CS205,THE REVOLUTION,더 레볼루션,더 레볼루션,MAX & DOOM,맥스 앤 둠,160,160,PRIME - PRIME 2,Arcade
CS200,Campanella,캄파넬라,캄파넬라,Cashew,Yakikaze & Cashew,140,140,PRIME - PRIME 2,Arcade
CS062,Love is a Danger Zone pt. 2,러브 이즈 어 데인저 존 pt.2,러브 이즈 어 댄저 존 pt.2,BanYa,반야,162,162,1st - Zero,Arcade
CS658,Nihilism - Another Ver.-,니힐리즘 - 어나더 버전 -,니힐리즘 - 어나더 버전 -,Nato,나토,190,190,XX,Arcade
CS123,Butterfly,버터플라이,버터플라이,MAX & Rorychesell(SID-SOUND),N/A,128,128,FIESTA - FIESTA 2,Arcade
